Reference, Value, Footprint, Datasheet, MPN
U101,MCP73834,,http://www.farnell.com/datasheets/1669398.pdf,MCP73834-FCI/UN
CON101,USB-MICRO-B,,
R103,NOPOP,,
R101,NOPOP,,
R102,NOPOP,,
R108,3.6k,,
R110,10k,,
Q101,BC817,SOT-23,http://www.farnell.com/datasheets/699988.pdf,BC817-16_215
Q102,BC817,SOT-23,http://www.farnell.com/datasheets/699988.pdf,BC817-16_215
R106,10k,,
R109,10k,,
P106,PwrOut,,
C103,1uf,,
P103,Battery,,
C102,4.7uf,,
R111,10k,,
TH101,THERMISTOR,,http://www.farnell.com/datasheets/1784420.pdf,NTCLE100E3103JB0
P102,ChgV,,
P101,USB5v,,
D102,LED,,http://www.farnell.com/datasheets/1484480.pdf,5988160107F
D103,LED,,http://www.farnell.com/datasheets/1661854.pdf,OVS-0803
D101,LED,,http://www.farnell.com/datasheets/1707781.pdf,KPHCM-2012EC-T
P104,uController,,
P105,Gnd,,
SW101,PwrOutOn,,
C101,4.7uf,,
R107,221,,
R105,221,,
R104,221,,
U102,P-MFet,SO-8,http://www.farnell.com/datasheets/1707296.pdf,FDFS2P753Z
